yearqtr,us,gdp,cpi,time,crisis,crisis_time_minus_24,us_time,us_crisis,us_crisis_time_minus_24,qe,qe_time_minus_37,us_qe,us_qe_time_minus_37
2002Q1,1,48873,75.1,1,0,0,1,0,0,0,0,0,0
2002Q2,1,49064,75.7,2,0,0,2,0,0,0,0,0,0
2002Q3,1,49138,76.1,3,0,0,3,0,0,0,0,0,0
2002Q4,1,49082,76.6,4,0,0,4,0,0,0,0,0,0
2003Q1,1,49233,77.4,5,0,0,5,0,0,0,0,0,0
2003Q2,1,49563,77.2,6,0,0,6,0,0,0,0,0,0
2003Q3,1,50264,77.8,7,0,0,7,0,0,0,0,0,0
2003Q4,1,50723,78.1,8,0,0,8,0,0,0,0,0,0
2004Q1,1,50914,78.8,9,0,0,9,0,0,0,0,0,0
2004Q2,1,51199,79.4,10,0,0,10,0,0,0,0,0,0
2004Q3,1,51553,79.9,11,0,0,11,0,0,0,0,0,0
2004Q4,1,51950,80.8,12,0,0,12,0,0,0,0,0,0
2005Q1,1,52416,81.2,13,0,0,13,0,0,0,0,0,0
2005Q2,1,52559,81.7,14,0,0,14,0,0,0,0,0,0
2005Q3,1,52837,82.9,15,0,0,15,0,0,0,0,0,0
2005Q4,1,53004,83.7,16,0,0,16,0,0,0,0,0,0
2006Q1,1,53602,84.2,17,0,0,17,0,0,0,0,0,0
2006Q2,1,53612,84.9,18,0,0,18,0,0,0,0,0,0
2006Q3,1,53554,85.7,19,0,0,19,0,0,0,0,0,0
2006Q4,1,53868,85.4,20,0,0,20,0,0,0,0,0,0
2007Q1,1,53907,86.2,21,0,0,21,0,0,0,0,0,0
2007Q2,1,54130,87.2,22,0,0,22,0,0,0,0,0,0
2007Q3,1,54316,87.7,23,0,0,23,0,0,0,0,0,0
2007Q4,1,54508,88.8,24,1,0,24,1,0,0,0,0,0
2008Q1,1,54167,89.8,25,1,1,25,1,1,0,0,0,0
2008Q2,1,54358,90.9,26,1,2,26,1,2,0,0,0,0
2008Q3,1,53940,92.3,27,1,3,27,1,3,0,0,0,0
2008Q4,1,52639,90.2,28,1,4,28,1,4,0,0,0,0
2009Q1,1,51920,89.6,29,1,5,29,1,5,0,0,0,0
2009Q2,1,51726,90.1,30,1,6,30,1,6,0,0,0,0
2009Q3,1,51794,90.9,31,1,7,31,1,7,0,0,0,0
2009Q4,1,52226,91.6,32,1,8,32,1,8,0,0,0,0
2010Q1,1,52383,91.7,33,1,9,33,1,9,0,0,0,0
2010Q2,1,52789,91.7,34,1,10,34,1,10,0,0,0,0
2010Q3,1,53084,91.9,35,1,11,35,1,11,0,0,0,0
2010Q4,1,53245,92.7,36,1,12,36,1,12,0,0,0,0
2011Q1,1,53022,93.7,37,1,13,37,1,13,1,0,1,0
2011Q2,1,53285,94.7,38,1,14,38,1,14,1,1,1,1
2011Q3,1,53150,95.4,39,1,15,39,1,15,1,2,1,2
2011Q4,1,53635,95.8,40,1,16,40,1,16,1,3,1,3
2012Q1,1,53978,96.3,41,1,17,41,1,17,1,4,1,4
2012Q2,1,54127,96.5,42,1,18,42,1,18,1,5,1,5
2012Q3,1,54109,97,43,1,19,43,1,19,1,6,1,6
2012Q4,1,54056,97.6,44,1,20,44,1,20,1,7,1,7
2013Q1,1,54437,98,45,1,21,45,1,21,1,8,1,8
2013Q2,1,54420,97.9,46,1,22,46,1,22,1,9,1,9
2013Q3,1,54737,98.4,47,1,23,47,1,23,1,10,1,10
2013Q4,1,55009,98.8,48,1,24,48,1,24,1,11,1,11
2014Q1,1,54718,99.4,49,1,25,49,1,25,1,12,1,12
2014Q2,1,55319,99.9,50,1,26,50,1,26,1,13,1,13
2014Q3,1,55843,100.2,51,1,27,51,1,27,1,14,1,14
2014Q4,1,55972,99.9,52,1,28,52,1,28,1,15,1,15
2015Q1,1,56330,99.3,53,1,29,53,1,29,1,16,1,16
2015Q2,1,56555,100,54,1,30,54,1,30,1,17,1,17
2015Q3,1,56617,100.4,55,1,31,55,1,31,1,18,1,18
2015Q4,1,56580,100.3,56,1,32,56,1,32,1,19,1,19
2016Q1,1,56812,100.3,57,1,33,57,1,33,1,20,1,20
2016Q2,1,56883,101.1,58,1,34,58,1,34,1,21,1,21
2016Q3,1,57108,101.5,59,1,35,59,1,35,1,22,1,22
2016Q4,1,57281,102.2,60,1,36,60,1,36,1,23,1,23
2017Q1,1,57463,102.9,61,1,37,61,1,37,1,24,1,24
2017Q2,1,57696,103,62,1,38,62,1,38,1,25,1,25
2017Q3,1,58007,103.5,63,1,39,63,1,39,1,26,1,26
2017Q4,1,58454,104.3,64,1,40,64,1,40,1,27,1,27
2018Q1,1,58828,105.2,65,1,41,65,1,41,1,28,1,28
2018Q2,1,59240,105.8,66,1,42,66,1,42,1,29,1,29
2018Q3,1,59433,106.2,67,1,43,67,1,43,1,30,1,30
2018Q4,1,59478,106.6,68,1,44,68,1,44,1,31,1,31
2002Q1,0,39711,77.8,1,0,0,0,0,0,0,0,0,0
2002Q2,0,39838,78.6,2,0,0,0,0,0,0,0,0,0
2002Q3,0,40046,79.5,3,0,0,0,0,0,0,0,0,0
2002Q4,0,40148,80.2,4,0,0,0,0,0,0,0,0,0
2003Q1,0,40333,81.2,5,0,0,0,0,0,0,0,0,0
2003Q2,0,40184,80.8,6,0,0,0,0,0,0,0,0,0
2003Q3,0,40216,81.2,7,0,0,0,0,0,0,0,0,0
2003Q4,0,40373,81.5,8,0,0,0,0,0,0,0,0,0
2004Q1,0,40613,81.9,9,0,0,0,0,0,0,0,0,0
2004Q2,0,41007,82.6,10,0,0,0,0,0,0,0,0,0
2004Q3,0,41369,82.8,11,0,0,0,0,0,0,0,0,0
2004Q4,0,41537,83.4,12,0,0,0,0,0,0,0,0,0
2005Q1,0,41633,83.7,13,0,0,0,0,0,0,0,0,0
2005Q2,0,41850,84.1,14,0,0,0,0,0,0,0,0,0
2005Q3,0,42223,84.9,15,0,0,0,0,0,0,0,0,0
2005Q4,0,42495,85.3,16,0,0,0,0,0,0,0,0,0
2006Q1,0,42785,85.9,17,0,0,0,0,0,0,0,0,0
2006Q2,0,42708,86.2,18,0,0,0,0,0,0,0,0,0
2006Q3,0,42695,86.3,19,0,0,0,0,0,0,0,0,0
2006Q4,0,42721,86.5,20,0,0,0,0,0,0,0,0,0
2007Q1,0,42946,87.4,21,0,0,0,0,0,0,0,0,0
2007Q2,0,43272,88,22,0,0,0,0,0,0,0,0,0
2007Q3,0,43317,88.1,23,0,0,0,0,0,0,0,0,0
2007Q4,0,43218,88.7,24,1,0,0,0,0,0,0,0,0
2008Q1,0,43188,89,25,1,1,0,0,0,0,0,0,0
2008Q2,0,43243,90.2,26,1,2,0,0,0,0,0,0,0
2008Q3,0,43441,91.2,27,1,3,0,0,0,0,0,0,0
2008Q4,0,42776,90.3,28,1,4,0,0,0,0,0,0,0
2009Q1,0,41741,90,29,1,5,0,0,0,0,0,0,0
2009Q2,0,41182,90.2,30,1,6,0,0,0,0,0,0,0
2009Q3,0,41222,90.4,31,1,7,0,0,0,0,0,0,0
2009Q4,0,41545,91,32,1,8,0,0,0,0,0,0,0
2010Q1,0,41983,91.5,33,1,9,0,0,0,0,0,0,0
2010Q2,0,42101,91.5,34,1,10,0,0,0,0,0,0,0
2010Q3,0,42255,92.1,35,1,11,0,0,0,0,0,0,0
2010Q4,0,42569,93,36,1,12,0,0,0,0,0,0,0
2011Q1,0,42847,93.7,37,1,13,0,0,0,1,0,0,0
2011Q2,0,42850,94.6,38,1,14,0,0,0,1,1,0,0
2011Q3,0,43303,94.9,39,1,15,0,0,0,1,2,0,0
2011Q4,0,43494,95.5,40,1,16,0,0,0,1,3,0,0
2012Q1,0,43448,96,41,1,17,0,0,0,1,4,0,0
2012Q2,0,43494,96,42,1,18,0,0,0,1,5,0,0
2012Q3,0,43401,96.1,43,1,19,0,0,0,1,6,0,0
2012Q4,0,43338,96.5,44,1,20,0,0,0,1,7,0,0
2013Q1,0,43668,96.9,45,1,21,0,0,0,1,8,0,0
2013Q2,0,43827,96.7,46,1,22,0,0,0,1,9,0,0
2013Q3,0,44027,97.1,47,1,23,0,0,0,1,10,0,0
2013Q4,0,44327,97.4,48,1,24,0,0,0,1,11,0,0
2014Q1,0,44352,98.2,49,1,25,0,0,0,1,12,0,0
2014Q2,0,44663,98.9,50,1,26,0,0,0,1,13,0,0
2014Q3,0,44946,99.2,51,1,27,0,0,0,1,14,0,0
2014Q4,0,45103,99.3,52,1,28,0,0,0,1,15,0,0
2015Q1,0,44835,99.2,53,1,29,0,0,0,1,16,0,0
2015Q2,0,44667,99.8,54,1,30,0,0,0,1,17,0,0
2015Q3,0,44710,100.4,55,1,31,0,0,0,1,18,0,0
2015Q4,0,44594,100.6,56,1,32,0,0,0,1,19,0,0
2016Q1,0,44778,100.7,57,1,33,0,0,0,1,20,0,0
2016Q2,0,44435,101.3,58,1,34,0,0,0,1,21,0,0
2016Q3,0,44720,101.6,59,1,35,0,0,0,1,22,0,0
2016Q4,0,44786,102,60,1,36,0,0,0,1,23,0,0
2017Q1,0,45204,102.6,61,1,37,0,0,0,1,24,0,0
2017Q2,0,45561,102.7,62,1,38,0,0,0,1,25,0,0
2017Q3,0,45569,103,63,1,39,0,0,0,1,26,0,0
2017Q4,0,45586,103.9,64,1,40,0,0,0,1,27,0,0
2018Q1,0,45888,104.7,65,1,41,0,0,0,1,28,0,0
2018Q2,0,46123,105,66,1,42,0,0,0,1,29,0,0
2018Q3,0,46232,105.7,67,1,43,0,0,0,1,30,0,0
2018Q4,0,46159,106,68,1,44,0,0,0,1,31,0,0
